Player name,Position,Win,Loss,Earned run Average,Games played,Games Started,Complete Game,Shutout,Save,Save Opportunity,Innings pitched,hit,run,earned run,home run,Hit Batsmen,base on balls,Strikeouts,WHIP,AVG
D Holland,P,82.0,83.0,4.62,346.0,228.0,9.0,8.0,0.0,3.0,1466.0,1489.0,820.0,753.0,220.0,47.0,533.0,1241.0,1.38,0.263
W Hutchinson,P,183.0,163.0,3.59,375.0,346.0,321.0,21.0,4.0,0.0,3078.0,3123.0,1913.0,1228.0,104.0,86.0,1132.0,1234.0,1.38,0.257
M Leake,P,105.0,98.0,4.05,301.0,296.0,6.0,2.0,0.0,0.0,1829.0,1940.0,905.0,824.0,238.0,68.0,403.0,1231.0,1.28,0.273
H Pennock,P,241.0,162.0,3.6,617.0,419.0,247.0,35.0,33.0,0.0,3571.2,3900.0,1699.0,1428.0,128.0,36.0,916.0,1227.0,1.35,0.281
D Jackson,P,112.0,131.0,4.01,353.0,324.0,44.0,15.0,1.0,1.0,2072.2,2110.0,1061.0,923.0,133.0,50.0,816.0,1225.0,1.41,0.266
S Jones,P,229.0,217.0,3.84,647.0,487.0,250.0,36.0,31.0,0.0,3883.0,4084.0,2008.0,1656.0,152.0,69.0,1396.0,1223.0,1.41,0.274
J Stivetts,P,203.0,132.0,3.74,388.0,333.0,278.0,14.0,5.0,0.0,2887.2,2905.0,1836.0,1199.0,131.0,99.0,1155.0,1223.0,1.41,0.255
S King,P,203.0,153.0,3.18,397.0,371.0,328.0,19.0,6.0,0.0,3181.2,3100.0,1805.0,1125.0,69.0,146.0,967.0,1222.0,1.28,0.25
D Keuchel,P,101.0,91.0,3.98,268.0,257.0,12.0,4.0,0.0,0.0,1588.0,1594.0,760.0,702.0,169.0,37.0,489.0,1218.0,1.31,0.261
N Rucker,P,134.0,134.0,2.42,336.0,273.0,186.0,38.0,14.0,0.0,2375.1,2089.0,823.0,639.0,41.0,73.0,701.0,1217.0,1.17,0.243
M Clement,P,87.0,86.0,4.47,238.0,236.0,6.0,3.0,0.0,0.0,1412.2,1326.0,762.0,702.0,144.0,94.0,650.0,1217.0,1.4,0.248
E Morris,P,171.0,122.0,2.82,311.0,307.0,297.0,29.0,1.0,0.0,2678.0,2468.0,1312.0,838.0,42.0,59.0,498.0,1217.0,1.11,0.235
M Morris,P,121.0,92.0,3.98,307.0,276.0,23.0,8.0,4.0,7.0,1806.0,1867.0,889.0,799.0,175.0,74.0,509.0,1214.0,1.32,0.269
J Weaver,P,104.0,119.0,4.71,355.0,274.0,16.0,7.0,2.0,3.0,1838.0,1997.0,1023.0,961.0,227.0,124.0,516.0,1214.0,1.37,0.277
D Cardwell,P,102.0,138.0,3.92,410.0,301.0,72.0,17.0,7.0,8.0,2122.2,2009.0,1044.0,924.0,225.0,98.0,671.0,1211.0,1.26,0.25
S Estes,P,101.0,93.0,4.71,283.0,281.0,14.0,8.0,0.0,0.0,1678.1,1708.0,950.0,879.0,158.0,57.0,858.0,1210.0,1.53,0.27
B Tomko,P,100.0,103.0,4.65,397.0,266.0,13.0,2.0,2.0,10.0,1816.0,1898.0,1011.0,939.0,255.0,37.0,582.0,1209.0,1.37,0.269
J Teheran,P,78.0,77.0,3.8,240.0,236.0,5.0,3.0,0.0,0.0,1396.1,1232.0,635.0,590.0,189.0,67.0,477.0,1207.0,1.22,0.237
W Hoyt,P,237.0,182.0,3.59,674.0,425.0,226.0,26.0,52.0,0.0,3762.1,4037.0,1775.0,1502.0,154.0,49.0,1003.0,1206.0,1.34,0.276
K Gibson,P,90.0,91.0,4.53,268.0,262.0,3.0,1.0,0.0,1.0,1509.0,1555.0,810.0,759.0,180.0,59.0,535.0,1205.0,1.39,0.266
H Dauss,P,223.0,182.0,3.3,538.0,388.0,245.0,22.0,39.0,0.0,3390.2,3407.0,1594.0,1245.0,87.0,121.0,1067.0,1201.0,1.32,0.265
